"Company Number","Company Name","Company Size","Registered Address","Company Reg Number","VAT No","Tel No","Email","Main Contact","Accounts Contact Name","Accounts address","Accounts Contact number","Accounts email","Notes prices agreed","Company Logo","Status"
"COMP-012","Lighthouse Security Systems Ltd","Large","220 Sentinel Way, Reading, RG2 0FN","08124012","GB 201 450 012","0118 555 0112","support@lighthousesecurity.example.com","Emily Ross","Jack Murphy","220 Sentinel Way, Reading, RG2 0FN","0118 555 1112","finance@lighthousesecurity.example.com","Monitoring fee £28 per site monthly",,"Active"
"COMP-013","Meadowbrook Textiles Ltd","Medium","31 Weaver Street, Bradford, BD4 8PW","08124013","GB 201 450 013","01274 555 113","trade@meadowbrook.example.com","Samuel Cox","Mia Richardson","31 Weaver Street, Bradford, BD4 8PW","01274 555 213","accounts@meadowbrook.example.com","Fabric rolls discounted 6% by case",,"Active"
"COMP-014","Northstar Event Services Ltd","Small","9 Festival Square, Newcastle, NE1 4AD","08124014","GB 201 450 014","0191 555 0114","events@northstarevents.example.com","Lucy Watson","Thomas Gray","9 Festival Square, Newcastle, NE1 4AD","0191 555 1114","payments@northstarevents.example.com","Weekend staffing £32 per hour",,"Active"
"COMP-015","Orchard Lane Foods Ltd","Large","64 Harvest Estate, Norwich, NR6 6BB","08124015","GB 201 450 015","01603 555 115","sales@orchardlane.example.com","Arthur James","Alice Green","64 Harvest Estate, Norwich, NR6 6BB","01603 555 215","creditcontrol@orchardlane.example.com","Case pricing agreed; 2% early-payment discount",,"Active"
"COMP-016","Pioneer Fleet Care Ltd","Medium","102 Motor Park, Coventry, CV6 5RY","08124016","GB 201 450 016","024 7555 0116","service@pioneerfleet.example.com","Jessica Hall","William Scott","102 Motor Park, Coventry, CV6 5RY","024 7555 1116","accounts@pioneerfleet.example.com","Labour rate £78 per hour",,"Inactive"
"COMP-017","Quartz Bridge Analytics Ltd","Small","27 Insight House, Oxford, OX1 2JD","08124017","GB 201 450 017","01865 555 117","data@quartzbridge.example.com","Zara Adams","Max Wright","27 Insight House, Oxford, OX1 2JD","01865 555 217","billing@quartzbridge.example.com","Monthly retainer £2,400",,"Active"
"COMP-018","Red Maple Construction Ltd","Large","88 Builder's Yard, Derby, DE21 4AE","08124018","GB 201 450 018","01332 555 118","tenders@redmaple.example.com","Lucas Baker","Evie Nelson","88 Builder's Yard, Derby, DE21 4AE","01332 555 218","finance@redmaple.example.com","Schedule of rates signed 1 July",,"Active"
"COMP-019","Silver Fern Packaging Ltd","Medium","16 Carton Close, Milton Keynes, MK10 7ES","08124019","GB 201 450 019","01908 555 119","orders@silverfern.example.com","Hannah Carter","Benjamin Hill","16 Carton Close, Milton Keynes, MK10 7ES","01908 555 219","accounts@silverfern.example.com","Custom boxes from £0.62 each",,"Active"
"COMP-020","Tideway Cleaning Solutions Ltd","Small","44 Riverside Road, London, SE8 3BT","08124020","GB 201 450 020","020 7555 0120","bookings@tidewaycleaning.example.com","Layla Mitchell","Adam Roberts","44 Riverside Road, London, SE8 3BT","020 7555 1120","invoices@tidewaycleaning.example.com","Office cleaning £24 per hour",,"Active"
"COMP-021","Unity Training Partners Ltd","Medium","12 Academy Crescent, York, YO10 5DD","08124021","GB 201 450 021","01904 555 121","learn@unitytraining.example.com","Dylan Phillips","Millie Campbell","12 Academy Crescent, York, YO10 5DD","01904 555 221","finance@unitytraining.example.com","Delegate rate £295 per course",,"Active"
"COMP-022","Vale Scientific Instruments Ltd","Large","7 Research Park, Exeter, EX2 8QF","08124022","GB 201 450 022","01392 555 122","lab@valescientific.example.com","Harriet Parker","Joseph Edwards","7 Research Park, Exeter, EX2 8QF","01392 555 222","accounts@valescientific.example.com","Calibration included in unit price",,"Active"
"COMP-023","Westmoor Garden Services Ltd","Small","25 Heather Drive, Plymouth, PL6 7NE","08124023","GB 201 450 023","01752 555 123","garden@westmoor.example.com","Finn Stewart","Rosie Collins","25 Heather Drive, Plymouth, PL6 7NE","01752 555 223","billing@westmoor.example.com","Grounds care £480 per visit",,"Inactive"
"COMP-024","Xenia Travel Management Ltd","Medium","50 Journey House, Southampton, SO15 1GA","08124024","GB 201 450 024","023 8055 0124","travel@xeniamanagement.example.com","Poppy Morris","Charlie Cook","50 Journey House, Southampton, SO15 1GA","023 8055 1124","accounts@xeniamanagement.example.com","Booking fee £12 per transaction",,"Active"
"COMP-025","Yellow Brick Education Ltd","Large","3 Learning Campus, Cardiff, CF10 4BZ","08124025","GB 201 450 025","029 2055 0125","schools@yellowbrick.example.com","Archie Morgan","Sienna Price","3 Learning Campus, Cardiff, CF10 4BZ","029 2055 1125","finance@yellowbrick.example.com","Licence price £9.50 per learner monthly",,"Active"
,"ADMIN","Enterprise","TEST4@GMAIL.COM",,,,"alpha@yahoo.com",,,,,,,"1785474919134-Flutter_Mobile_App_Devolpment.png","Active"
"student","student","Medium","House no#6 street no#23 rehman pura lahore
same","student",,,"devwoxsolution@gmail.com",,"Haseeb Ali","House no#6 street no#23 rehman pura lahore
same","314303",,"k",,"Active"
"013025954785","MattE Black Surfacing","50+",,"123456","6254565",,,"dan","dan test","212 test drive","01302545696","test@test.com","£650 day rate","1785574410699-LOGO.jpg","Active"
